name,cuisine,category,dominant_taste,weight,fat_level,cooking_method,description
Якитори,JAPANESE,Гриль,UMAMI,MEDIUM,MEDIUM,GRILLED,"Мини-шашлычки из курицы на бамбуковых шпажках, глазированные соусом тарэ"
Моти,JAPANESE,Десерт,SWEET,LIGHT,LOW,STEAMED,"Нежные традиционные японские пирожные из клейкого рисового теста с ягодной начинкой"
Тонкацу,JAPANESE,Мясное,UMAMI,HEAVY,HIGH,FRIED,"Хрустящая свиная отбивная в панировке панко, обжаренная до золотистого цвета"
Бургер,AMERICAN,Бургеры,UMAMI,HEAVY,HIGH,GRILLED,"Сочная котлета из мраморной говядины на гриле с расплавленным сыром чеддер, хрустящим беконом и карамелизованным луком"
Стейк,AMERICAN,Мясное,UMAMI,HEAVY,MEDIUM,GRILLED,"Премиальный стейк Рибай зернового откорма на гриле со сливочным маслом и розмарином"
Начос,AMERICAN,Снеки,SPICY,MEDIUM,HIGH,BAKED,"Кукурузные чипсы, запеченные с сыром чеддер, халапеньо, фасолью и соусом сальса"
Рёбрышки BBQ,AMERICAN,Мясное BBQ,MIXED,HEAVY,HIGH,GRILLED,"Свиные ребрышки долгого томления в смокере под сладко-дымным соусом барбекю"
Куриные крылышки Buffalo,AMERICAN,Птица/Снеки,SPICY,MEDIUM,HIGH,FRIED,"Острые хрустящие крылья в соусе чили-буффало с соусом блю-чиз и сельдереем"
Мак-энд-чиз,AMERICAN,Паста/Гарнир,UMAMI,HEAVY,HIGH,BAKED,"Запеченные макароны-рожки в густом соусе из трех видов сыра с хрустящей корочкой"
Яблочный пирог,AMERICAN,Десерт,SWEET,MEDIUM,MEDIUM,BAKED,"Традиционный домашний пай с карамелизованными яблоками и корицей"
Тако,MEXICAN,Закуска/Стритфуд,SPICY,MEDIUM,MEDIUM,GRILLED,"Кукурузные тортильи с рубленым мясом карнитас, кинзой, луком и острой сальсой верде"
Буррито,MEXICAN,Основное,SPICY,HEAVY,MEDIUM,BAKED,"Сытный ролл из тортильи с говядиной, рисом, фасолью, сыром и соусом чипотле"
Гуакамоле,MEXICAN,Соусы/Закуски,SOUR,LIGHT,HIGH,RAW,"Нежный дип из спелого авокадо с соком лайма, томатами, кинзой и халапеньо"
Кесадилья,MEXICAN,Закуска,UMAMI,MEDIUM,HIGH,FRIED,"Поджаренная тортилья с тянущимся сыром, курицей и пико де гайо"
Чили кон карне,MEXICAN,Основное/Рагу,SPICY,HEAVY,MEDIUM,BOILED,"Густое пряное рагу из говядины, черной фасоли, томатов и жгучего перца чили"
Энчилада,MEXICAN,Запеканка,SPICY,HEAVY,MEDIUM,BAKED,"Кукурузные трубочки с курицей под пряным соусом чили и запеченным сыром"
Чуррос,MEXICAN,Десерт,SWEET,LIGHT,MEDIUM,FRIED,"Хрустящие палочки из заварного теста, посыпанные корицей и сахаром, с горячим шоколадом"
Братвурст (сосиски),GERMAN,Колбасы/Гриль,SALTY,HEAVY,HIGH,GRILLED,"Традиционные немецкие колбаски из свинины с майораном и тмином на гриле"
Брецель,GERMAN,Выпечка/Снеки,SALTY,MEDIUM,LOW,BAKED,"Баварский крендель с глянцевой румяной корочкой и крупными кристаллами соли"
Шницель,GERMAN,Мясное,UMAMI,HEAVY,HIGH,FRIED,"Тончайший венский шницель в хрустящей золотистой панировке с долькой лимона"
Квашеная капуста,GERMAN,Гарнир/Закуска,SOUR,LIGHT,LOW,FERMENTED,"Традиционный зауэркраут с легкой яблочной кислинкой и ягодами можжевельника"
Карривурст,GERMAN,Стритфуд,SPICY,HEAVY,HIGH,FRIED,"Обжаренная сосиска под пикантным томатным соусом карри"
Картофельный салат,GERMAN,Салаты,SOUR,MEDIUM,MEDIUM,BOILED,"Немецкий салат из теплого отварного картофеля с горчично-уксусной заправкой и беконом"
Штрудель,GERMAN,Десерт,SWEET,MEDIUM,MEDIUM,BAKED,"Австрийско-баварский штрудель из вытяжного теста с яблоками, изюмом и корицей"
